Sample,AI,Richness,all_seqs,all_len,lat,lon,LandcoverClass,Nation,Continent,Type
China_S390,0.163402932,2,88833686,13142258970,35.207199,114.675606,Grassland,China,Asia,Metagenome
China_S391,0.082999356,1,87289377,12936748894,29.573145,103.749543,Forest,China,Asia,Metagenome
China_S393,0.082403084,1,88110337,13030359610,29.660384,115.952035,Agricultural Land,China,Asia,Metagenome
China_S394,0.184280778,2,78713950,11653324180,19.16075,110.452374,Forest,China,Asia,Metagenome
China_S4,0.089180315,1,81632291,12040121522,32.96,113.0766667,Agricultural Land,China,Asia,Metagenome
China_S400,0.101953321,1,71425069,10531700322,39.11283,117.206366,Agricultural Land,China,Asia,Metagenome
China_S401,0.1632502,2,88908610,13154554526,39.938258,116.414341,Forest,China,Asia,Metagenome
China_S404,0.204495447,1,71022977,10501376353,39.938258,116.414341,Wetland,China,Asia,Metagenome
China_S406,0.331062815,2,87795008,12973270029,27.756161,118.023465,Agricultural Land,China,Asia,Metagenome
China_S408,0.201739732,1,71886298,10644822532,37.757745,115.669078,Grassland,China,Asia,Metagenome
China_S412,0.257574508,2,84394777,12505994865,36.257226,100.485006,Grassland,China,Asia,Metagenome
China_S42,0.192501481,1,75459919,11155673356,27.14611111,110.0333333,Agricultural Land,China,Asia,Metagenome
China_S46,0.097321117,1,74712476,11032978845,36.39888889,118.0186111,Agricultural Land,China,Asia,Metagenome
China_S47,0.099460387,1,73202019,10795673118,36.44611111,117.9688889,Agricultural Land,China,Asia,Metagenome
China_S49,0.20061521,2,72535129,10704490687,36.51472222,117.8552778,Agricultural Land,China,Asia,Metagenome
China_S5,0.954061436,3,68688650,10128987555,32.9625,113.77,Agricultural Land,China,Asia,Metagenome
China_S50,0.111588873,1,65352846,9622301881,37.58166667,118.0441667,Agricultural Land,China,Asia,Metagenome
China_S52,0.188456341,1,77339377,11395125482,37.40222222,117.9291667,Agricultural Land,China,Asia,Metagenome
China_S56,0.096713516,1,75143247,11102293288,30.65416667,117.4133333,Agricultural Land,China,Asia,Metagenome
China_S57,0.088685802,1,81296861,12107257288,30.65416667,117.4161111,Agricultural Land,China,Asia,Metagenome
China_S59,0.944174424,3,69439433,10235054210,30.64388889,117.4927778,Wetland,China,Asia,Metagenome
China_S6,0.313415031,2,69618482,10277827008,33.00277778,112.5905556,Wetland,China,Asia,Metagenome
China_S61,0.08551464,1,84202666,12556233949,30.63333333,117.4869444,Grassland,China,Asia,Metagenome
China_S63,0.180060444,1,80944759,11926459810,31.90083333,117.2427778,Wetland,China,Asia,Metagenome
China_S69,0.091270793,1,79829375,11764353023,30.83416667,117.1713889,Forest,China,Asia,Metagenome
China_S70,0.105033078,1,69346979,10222892093,31.25,118.32,Agricultural Land,China,Asia,Metagenome
China_S72,0.101966684,1,71333127,10530320145,31.23694444,118.22,Agricultural Land,China,Asia,Metagenome
China_S76,0.093655708,1,77672912,11464777230,31.27694444,118.2980556,Forest,China,Asia,Metagenome
China_S91,0.244003949,2,88692775,13201530093,27.73972222,118.0672222,Agricultural Land,China,Asia,Metagenome
chrono_s1,0.276979781,1,78700624,11629821722,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s11,0.538572429,3,80903645,11962088282,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s12,0.093016084,1,78026905,11543614548,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s13,0.074649253,1,97336169,14383825491,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s16,0.173057378,2,83916490,12409084551,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s17,0.424222879,1,102754180,15186476888,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s18,0.490911524,2,88761650,13123446122,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s21,0.415796534,1,104792281,15494239173,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s22,0.090932462,1,79837708,11808124445,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s23,0.182909799,1,118648255,17611005447,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s26,0.084472136,1,85965374,12711195395,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s27,0.742328574,2,88028448,13018057978,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s31,0.088218021,1,82284983,12171456648,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s32,0.210455752,2,103501018,15305951205,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s33,0.287569793,1,125730517,18669238762,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s6,0.084228876,1,86253166,12747906288,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
chrono_s8,0.275556696,1,79116583,11689882748,30.18194444,121.3538889,Agricultural Land,China,Asia,Metagenome
CR_S1,0.084569764,1,83075801,12696521448,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S10,0.082230477,1,88358261,13057711258,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S13,0.070696612,1,102966942,15188023748,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S16,0.102382523,1,70918567,10487549970,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S17,0.186381035,1,77926888,11522007330,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S19,0.153695613,1,94363997,13972315837,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S2,0.090247558,1,80348734,11897738278,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S20,0.15970372,1,90837705,13446672677,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S22,0.190365926,1,76253097,11280819478,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S25,0.098583185,1,76439957,10891733977,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S30,0.084933632,1,82799649,12642127763,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S33,0.142900664,1,101599486,15027807326,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S34,0.155015675,1,93503017,13853332251,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S35,0.064429646,1,112558663,16665337852,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S36,0.100207034,1,72264857,10715234052,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S37,0.101723239,1,72902918,10555521331,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S38,0.296992092,1,73122599,10846165815,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S4,0.140154314,1,103896071,15322280023,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S41,0.09788934,1,73819419,10968935195,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S46,0.495479726,1,72917136,10835375984,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S47,0.174755182,2,83232310.5,12288526249,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S51,0.116596156,2,124547144,18418134275,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S53,0.198159686,1,73069901,10837136891,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S55,0.101421248,1,73714685,10586951353,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S60,0.101205185,1,71760233,10609553447,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S61,0.102246891,1,72781805,10501461868,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S62,0.099690036,1,72774017,10770803887,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S70,0.193438696,2,77500211,11101623911,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
CR_S8,0.126038362,2,115470570,17038333456,30.83576111,120.7176889,Agricultural Land,China,Asia,Metagenome
D2_EDME210000098,0.141353942,2,102482798,15192244540,53.4669,-2.2357,Agricultural Land,United Kingdom,Europe,Metagenome
D3_EDME210000099,0.332430838,1,108961586,16149852856,53.4664,-2.2343,Agricultural Land,United Kingdom,Europe,Metagenome
D4_EDME210000100,0.140077013,1,103465323,15330735629,53.4675,-2.2347,Agricultural Land,United Kingdom,Europe,Metagenome
D5_EDME210000101,0.144443218,1,100307523,14867320673,53.4673,-2.2327,Agricultural Land,United Kingdom,Europe,Metagenome
D6_EDME210000102,0.063899302,1,113496072,16803654955,53.4676,-2.235,Agricultural Land,United Kingdom,Europe,Metagenome
DRR160714,0.399357002,1,11070293,2688676597,35.735,139.539,Agricultural Land,Japan,Asia,Metagenome
DRR160717,0.49178672,1,8920547,2183348555,38.249,140.244,Agricultural Land,Japan,Asia,Metagenome
ED1_EDME210000088,0.22126209,2,98470737,14558415684,55.9438,-3.2197,Agricultural Land,United Kingdom,Europe,Metagenome
ED2_EDME210000089,0.22344781,1,130002506,19221344318,55.9438,-3.2197,Agricultural Land,United Kingdom,Europe,Metagenome
ED3_EDME210000090,0.333984651,2,87007013,12859774501,55.9438,-3.2197,Agricultural Land,United Kingdom,Europe,Metagenome
ERR1051325,0.144516095,1,120737438,14859823381,34.98167,-97.52056,Agricultural Land,United States,North America,Metagenome
ERR436052,0.558957618,1,20409522,1920971806,-34.233,138.309,Agricultural Land,AUnited Statestralia,Australia,Metagenome
ERR436055,0.612906524,1,18483291,1751885127,-34.255,138.318,Agricultural Land,AUnited Statestralia,Australia,Metagenome
ERR436058,0.502948253,1,22565239,2134895224,-34.255,138.318,Agricultural Land,AUnited Statestralia,Australia,Metagenome
ERR4660997,0.761009636,1,28756130,4232831387,-3.076,37.353,Forest,Tanzania,Africa,Metagenome
ERR4660998,0.315027795,1,23265534,3408403454,-3.076,37.353,Forest,Tanzania,Africa,Metagenome
ERR4660999,0.863111292,1,25393753,3732109060,-3.076,37.353,Forest,Tanzania,Africa,Metagenome
ERR4661002,0.526773782,2,27393564,4076671472,-3.076,37.353,Forest,Tanzania,Africa,Metagenome
ERR4661004,0.289920893,1,25081292,3703568279,-3.076,37.353,Forest,Tanzania,Africa,Metagenome
ERR4661008,0.454396844,1,32158637,4726009158,-3.076,37.353,Forest,Tanzania,Africa,Metagenome
ERR4661009,0.974877287,1,29949240,4405649155,-3.076,37.353,Forest,Tanzania,Africa,Metagenome
ERR4661010,0.414579414,1,35271294,5179909023,-3.076,37.353,Forest,Tanzania,Africa,Metagenome
GM3_EDME210000096,0.088729161,1,81666998,12101340845,52.4569,13.3022,Grassland,Germany,Europe,Metagenome
hzb_S1,0.191023085,1,38247313,5621005569,30.39472222,121.2741667,Wetland,China,Asia,Metagenome
hzb_S10,2.244051666,1,51813255,7655736917,30.39472222,121.2741667,Bare Land,China,Asia,Metagenome
hzb_S11,0.671562467,1,43516378,6395484419,30.39472222,121.2741667,Bare Land,China,Asia,Metagenome
hzb_S14,1.0406784,1,49147486,7222397203,30.39472222,121.2741667,Bare Land,China,Asia,Metagenome
hzb_S15,0.173469339,1,42297486,6189807550,30.39472222,121.2741667,Wetland,China,Asia,Metagenome
hzb_S16,0.367720579,1,39791924,5839987675,30.39472222,121.2741667,Wetland,China,Asia,Metagenome
hzb_S18,8.004881535,3,42147530,6170250451,30.39472222,121.2741667,Wetland,China,Asia,Metagenome
hzb_S2,1.812258722,5,33474606,4739905225,30.39472222,121.2741667,Wetland,China,Asia,Metagenome
hzb_S20,0.170658325,1,42822310,6291763539,30.46527778,122.2977778,Bare Land,China,Asia,Metagenome
hzb_S21,1.388717106,1,55777821,8505087189,30.46527778,122.2977778,Bare Land,China,Asia,Metagenome
hzb_S23,0.646363461,2,45111780,6644817586,30.46527778,122.2977778,Wetland,China,Asia,Metagenome
hzb_S25,0.184675951,1,39438932,5814194094,30.46527778,122.2977778,Wetland,China,Asia,Metagenome
hzb_S26,1.623441997,3,40504746,5952584961,30.46527778,122.2977778,Wetland,China,Asia,Metagenome
hzb_S27,0.15536495,1,46816577,6911094332,30.46527778,122.2977778,Wetland,China,Asia,Metagenome
hzb_S28,1.746641678,2,45817452,6762211282,30.46527778,122.2977778,Wetland,China,Asia,Metagenome
hzb_S29,0.549680443,3,52971259,7813571232,30.46527778,122.2977778,Wetland,China,Asia,Metagenome
hzb_S31,0.193136133,1,37824147,5559507718,30.59333333,121.0922222,Wetland,China,Asia,Metagenome
hzb_S32,1.069862331,4,75126299,11039887777,30.59333333,121.0922222,Wetland,China,Asia,Metagenome
hzb_S33,4.589251693,2,38046630,5381282963,30.59333333,121.0922222,Wetland,China,Asia,Metagenome
hzb_S34,0.294495858,2,49650459,7292067413,30.59333333,121.0922222,Grassland,China,Asia,Metagenome
hzb_S35,0.321176093,1,45500646,6686312262,30.59333333,121.0922222,Wetland,China,Asia,Metagenome
hzb_S36,1.253899347,2,40789703,5994255269,30.59333333,121.0922222,Wetland,China,Asia,Metagenome
hzb_S38,1.627916959,1,40463943,5936221968,30.59333333,121.0922222,Agricultural Land,China,Asia,Metagenome
hzb_S4,7.780473579,2,41366352,6072206245,30.39472222,121.2741667,Wetland,China,Asia,Metagenome
hzb_S40,0.084304758,1,83054123,12736432068,30.59333333,121.0922222,Wetland,China,Asia,Metagenome
hzb_S41,1.661116719,3,44078085,6463975780,30.59333333,121.0922222,Grassland,China,Asia,Metagenome
hzb_S42,0.613545303,3,35738950,5250183572,30.59333333,121.0922222,Wetland,China,Asia,Metagenome
hzb_S43,0.179038594,1,40788130,5997264606,30.59333333,121.0922222,Wetland,China,Asia,Metagenome
hzb_S44,0.313450344,2,46514241,6851112750,30.59333333,121.0922222,Grassland,China,Asia,Metagenome
hzb_S5,0.666429783,3,34163521,4833555703,30.39472222,121.2741667,Wetland,China,Asia,Metagenome
hzb_S7,0.253857312,2,86834864,12689118326,30.39472222,121.2741667,Bare Land,China,Asia,Metagenome
hzb_S9,6.85767197,1,37327620,5480134367,30.39472222,121.2741667,Bare Land,China,Asia,Metagenome
IM_S1,0.124698965,1,58577929,8610671496,51.725,122.02,Forest,China,Asia,Metagenome
IM_S4,0.378534956,2,59939019,8509717332,51.725,122.02,Forest,China,Asia,Metagenome
IM_S5,3.413391706,3,44915378,6605915828,51.725,122.02,Forest,China,Asia,Metagenome
MG_S03,0.092201313,1,78680173,11645624000,30.0763889,119.9263889,Agricultural Land,China,Asia,Metagenome
MG_S07,0.077247354,1,93880620,13900046662,30.0763889,119.9263889,Agricultural Land,China,Asia,Metagenome
MG_S22,0.381584423,2,75680900,11255614871,30.0763889,119.9263889,Agricultural Land,China,Asia,Metagenome
MG_S32,0.210384125,1,68648671,10207441498,30.0763889,119.9263889,Agricultural Land,China,Asia,Metagenome
MG_S37,0.20748287,1,69532995,10350173239,30.0763889,119.9263889,Agricultural Land,China,Asia,Metagenome
MG_S51,0.097817005,1,74175125,10977046651,30.0763889,119.9263889,Agricultural Land,China,Asia,Metagenome
NMGBYZECS,0.090186338,1,83248547,11905814642,40.76,107.41,Agricultural Land,China,Asia,Metagenome
NMGBYZEHD,0.528407243,2,71087821,10160173226,40.8,107.39,Agricultural Land,China,Asia,Metagenome
NP1_2,0.26946482,1,81163452,11954159626,36.82,101.75,Agricultural Land,China,Asia,Metagenome
NPV,0.103472894,1,70568247,10377034794,36.82,101.75,Agricultural Land,China,Asia,Metagenome
QHXNCS_1,0.418829544,1,71727534,10254690391,36.65,101.75,Agricultural Land,China,Asia,Metagenome
QHXNCS_2,0.201762061,1,74316248,10643644493,36.64,101.77,Agricultural Land,China,Asia,Metagenome
rice1,7.464153015,4,109692335,16255404445,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice100,0.420416991,1,104260034,15323954753,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice101,0.136710504,2,106263831,15708256372,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice102,0.342052846,1,106265719,15695554617,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice103,0.269658616,1,107747551,15927424699,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice104,0.334657872,1,108526146,16042381103,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice105,0.120957462,2,120712732,17754040373,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice121,0.700023795,1,72832271,10737053263,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice122,0.379758271,1,95962230,14137174961,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice124,0.396331155,2,73533878,10836814719,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice125,0.172092531,1,84687758,12478656906,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
rice126,0.532027736,1,68445641,10091032389,29.15555556,119.3883333,Agricultural Land,China,Asia,Metagenome
