otu_id,sample_id,Host,project_id,count,nreads,classification,run_id
NC_008724.1,SRR6204322,Human_and_other_vertebrates,soil,0.999999998,5.232913133,soil,SRR6204322
NC_029132.1,SRR6204324,Others,soil,1,4.739693654,soil,SRR6204324
NC_030460.1,SRR6204779,Birds,soil,0.999999998,4.682361444,soil,SRR6204779
NC_008724.1,SRR6204799,Human_and_other_vertebrates,soil,1,2.86603395,soil,SRR6204799
NC_008724.1,SRR6205455,Human_and_other_vertebrates,soil,0.999999999,4.693501001,soil,SRR6205455
NC_006273.2,SRR6205696,Human_and_other_vertebrates,soil,2.000000002,5.225897868,soil,SRR6205696
NC_028474.1,SRR6223544,Ungulata,soil,1.000000002,5.268709601,soil,SRR6223544
NC_036582.1,SRR6223544,Birds,soil,1.000000002,5.268709601,soil,SRR6223544
NC_000898.1,SRR6227641,Human,soil,0.999999999,5.687429569,soil,SRR6227641
NC_036582.1,SRR6227641,Birds,soil,0.999999999,5.687429569,soil,SRR6227641
NC_010277.2,SRR6324886,Human,soil,1,0.607604214,soil,SRR6324886
NC_010277.2,SRR6324891,Human,soil,1,1.359021007,soil,SRR6324891
NC_001731.1,SRR6324902,Human,soil,1.000000002,0.210545749,soil,SRR6324902
NC_038701.1,SRR6324903,Others,soil,3,0.839834208,soil,SRR6324903
NC_038701.1,SRR6324917,Others,soil,2,0.035118639,soil,SRR6324917
NC_036582.1,SRR6324926,Birds,soil,0.999999998,5.042865179,soil,SRR6324926
NC_026144.1,SRR6324939,Others,soil,3,0.216144971,soil,SRR6324939
NC_026144.1,SRR6324943,Others,soil,1.000000003,0.14270051,soil,SRR6324943
NC_010277.2,SRR6324945,Human,soil,25,0.438954744,soil,SRR6324945
NC_038701.1,SRR6324951,Others,soil,17,0.398103984,soil,SRR6324951
NC_006273.2,SRR6324958,Human_and_other_vertebrates,soil,2,0.453895155,soil,SRR6324958
NC_038701.1,SRR6324963,Others,soil,4.000000004,0.322023517,soil,SRR6324963
NC_038701.1,SRR6324968,Others,soil,2.000000001,0.665833222,soil,SRR6324968
NC_008724.1,SRR6337267,Human_and_other_vertebrates,soil,0.999999995,10.31234436,soil,SRR6337267
NC_036582.1,SRR6337267,Birds,soil,0.999999995,10.31234436,soil,SRR6337267
NC_026732.1,SRR6337268,Ungulata,soil,2,12.36751718,soil,SRR6337268
NC_028474.1,SRR6337271,Ungulata,soil,1.000000001,10.64940181,soil,SRR6337271
NC_036582.1,SRR6337272,Birds,soil,1.000000001,5.11383005,soil,SRR6337272
NC_032730.1,SRR6337273,Others,soil,2,4.304994795,soil,SRR6337273
NC_036582.1,SRR6337273,Birds,soil,2.999999999,4.304994795,soil,SRR6337273
